Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
5919 Urquhart St,5919 Urquhart St,Accessory STR,2,4,10/05/2020 11:59:59 PM,"(29.9626141830567, -90.0117764052402)",3699295.78,534309.75
2470 Royal St,2470 Royal St,Accessory STR,3,6,09/29/2020 11:59:59 PM,"(29.9647748683232, -90.0522368808366)",3686475.99,534949.96
2806 N Rampart St,2806 N Rampart St,Accessory STR,2,4,09/29/2020 11:59:59 PM,"(29.9671895707934, -90.0484330409565)",3687670.53,535841.52
2308 Joseph St,2308 Joseph St,Accessory STR,2,4,09/29/2020 11:59:59 PM,"(29.9367602021364, -90.1131446496862)",3667299.56,524552.27
417 Stafford Pl,417 Stafford Pl,Accessory STR,3,6,10/08/2020 11:59:59 PM,"(30.0179697568566, -90.1197824842769)",3664884.5,554060.97
436 Fern St,436 Fern St,Accessory STR,1,2,10/12/2019 11:59:59 PM,"(29.9409805580058, -90.1335887477019)",3660808.54,526018.58
5835 Lafaye St,5835 Lafaye St,Accessory STR,2,4,11/04/2019 11:59:59 PM,"(30.0193003021028, -90.0492253220892)",3687207.32,554788.16
817 Delachaise St,817 Delachaise St,Accessory STR,2,4,09/10/2020 11:59:59 PM,"(29.9201540074026, -90.0887709420811)",3675084.65,518596.68
2508 myrtle st,2508 myrtle st,Accessory STR,3,6,09/19/2020 11:59:59 PM,"(29.9949818679503, -90.0513357907694)",3686638.4,545937.55
436 Fern St,436 Fern St,Accessory STR,1,2,10/12/2020 11:59:59 PM,"(29.9409805580058, -90.1335887477019)",3660808.54,526018.58
120 S Avenue 64,120 S Avenue 64,Commercial STR,4,6,10/01/2020 11:59:59 PM,"(29.9674147061692, -90.0576389121936)",3684754.89,535890.82
888 Girod St Apt 301,888 Girod St Apt 301,Commercial STR,,,09/30/2020 11:59:59 PM,"(29.9477693296779, -90.0735541928607)",3679794.4,528691.28
4569 Eastview Dr,4569 Eastview Dr,Temporary STR,2,4,09/30/2020 11:59:59 PM,"(30.0173134046688, -89.9920144853389)",3705320.14,554273.06
3419 Laurel St,3419 Laurel St,Accessory STR,1,2,10/29/2019 11:34:38 AM,"(29.9211378230839, -90.088678141834)",3675110.16,518954.75
888 Girod St Apt 401,888 Girod St Apt 401,Commercial STR,,,09/30/2020 11:59:59 PM,"(29.9477608595794, -90.0735082278368)",3679808.99,528688.36
2303 Louisiana Ave,2303 Louisiana Ave,Commercial STR,2,4,09/11/2020 11:59:59 PM,"(29.9348019364714, -90.0943348929843)",3673264.58,523904.1
333 Julia St Unit 511,333 Julia St Unit 511,Commercial STR,,,10/01/2020 11:59:59 PM,"(29.9449976580457, -90.0670995307467)",3681849.59,527705.93
224 Bermuda St,224 Bermuda St,Accessory STR,2,4,10/01/2020 11:59:59 PM,"(29.9537660661419, -90.0532336870267)",3686205.1,530943.23
